ID_license,ID_company,Название,Оборудование
472,18,GNU GPL,	Электронно-зондовый микроанализатор JXA-8230
473,5,GPLv3,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
474,1,eCos,Гелиевый реконденсатор сверхпроводящего магнита
475,16,Freetype,Конфокальный КР микроскоп
476,16,iMatix,Конфокальный КР микроскоп
477,8,GPLv3,Система для осаждения алмазных пленок
478,9,BSD,Система для осаждения алмазных пленок
479,2,Cryptix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
480,13,iMatix,Система для осаждения алмазных пленок
481,10,CeCill,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
482,10,eCos,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
483,13,GNU GPL,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
484,12,eCos,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
485,17,Cryptix,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
486,16,eCos,Конфокальный КР микроскоп
487,18,CeCill,Система для осаждения алмазных пленок
488,13,GPLv3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
489,2,GPLv3,Конфокальный КР микроскоп
490,16,Cryptix,Гелиевый реконденсатор сверхпроводящего магнита
491,6,CeCill,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
492,18,GNU GPL,Радиотомографический комплекс для исследований ионосферы и ближнего космоса
493,7,iMatix,	Электронно-зондовый микроанализатор JXA-8230
494,2,BSD,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов
495,13,iMatix,Полуавтоматическая зондовая станция
496,2,CeCill,Исследовательская установка
497,8,Berkeley,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов
498,17,GPLv3,Мессбауэровский спектрометр
499,17,Berkeley,Гелиевый реконденсатор сверхпроводящего магнита
500,17,CeCill,	Электронно-зондовый микроанализатор JXA-8230
