ID_equip,ID_supplier,Название,Назначение,Исправно
339,13,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
340,5,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
341,4,Конфокальный КР микроскоп,Структурный анализ,0
342,7,Мессбауэровский спектрометр,Структурный анализ,0
343,14,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
344,16,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
345,10,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
346,8,Мессбауэровский спектрометр,Структурный анализ,1
347,20,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
348,11,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
349,8,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
350,19,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
351,10,Мессбауэровский спектрометр,Структурный анализ,0
352,20,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
353,16,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
354,12,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
355,18,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
356,8,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
357,16,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
358,12,Конфокальный КР микроскоп,Структурный анализ,0
359,6,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
360,18,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
361,13,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
362,10,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
363,5,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
364,8,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
365,17,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
366,3,Конфокальный КР микроскоп,Структурный анализ,1
367,7,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
368,17,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
369,17,Конфокальный КР микроскоп,Структурный анализ,1
370,19,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
371,18,Мессбауэровский спектрометр,Структурный анализ,0
372,5,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
373,12,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
374,20,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
375,4,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
376,7,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
377,4,Конфокальный КР микроскоп,Структурный анализ,0
378,3,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
379,19,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
380,2,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
381,4,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
382,19,Мессбауэровский спектрометр,Структурный анализ,1
383,2,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
384,3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
385,10,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
386,4,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
387,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
388,17,Конфокальный КР микроскоп,Структурный анализ,0
389,12,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
390,14,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
391,3,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
392,19,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
393,19,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
394,6,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
395,11,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
396,14,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
397,4,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,0
398,13,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
399,1,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,0
400,12,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
401,20,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
402,1,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
403,17,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
404,18,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
405,8,Конфокальный КР микроскоп,Структурный анализ,1
406,2,Мессбауэровский спектрометр,Структурный анализ,1
407,10,Конфокальный КР микроскоп,Структурный анализ,1
408,4,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
409,5,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
410,10,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
411,2,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
412,1,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
413,12,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
414,4,Конфокальный КР микроскоп,Структурный анализ,0
415,20,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
416,5,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
417,14,Мессбауэровский спектрометр,Структурный анализ,0
418,2,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
419,10,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
420,13,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
421,10,Мессбауэровский спектрометр,Структурный анализ,0
422,5,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
423,14,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
424,6,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
425,10,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
426,20,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
427,5,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
428,3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
429,17,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
430,11,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
431,18,Конфокальный КР микроскоп,Структурный анализ,1
432,17,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
433,20,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
434,9,Конфокальный КР микроскоп,Структурный анализ,0
435,3,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
436,5,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
437,16,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
438,3,Конфокальный КР микроскоп,Структурный анализ,1
439,13,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
440,17,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
441,15,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
442,3,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,1
443,12,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
444,6,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
445,13,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
446,1,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
447,11,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
448,20,Полуавтоматическая зондовая станция,Прецизионное позиционирование,1
449,3,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
450,10,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
451,8,Мессбауэровский спектрометр,Структурный анализ,1
452,12,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
453,8,Конфокальный КР микроскоп,Структурный анализ,0
454,18,Конфокальный КР микроскоп,Структурный анализ,1
455,4,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
456,17,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
457,11,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
458,20,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
459,13,Мессбауэровский спектрометр,Структурный анализ,1
460,1,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
461,1,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
462,7,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
463,10,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
464,18,Конфокальный КР микроскоп,Структурный анализ,0
465,19,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
466,11,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
467,19,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
468,14,Мессбауэровский спектрометр,Структурный анализ,1
469,17,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,0
470,17,Когерентный томографический трехчастотный комплекс приема спутниковых сигналов,Прием спутниковых сигналов,1
471,6,Конфокальный КР микроскоп,Структурный анализ,1
472,4,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
473,15,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
474,6,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
475,11,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
476,6,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
477,4,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
478,14,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
479,7,Конфокальный КР микроскоп,Структурный анализ,0
480,3,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
481,5,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,0
482,20,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,0
483,10,Исследовательская установка,Нанесение ЛЦУ пленок и различных гетероструктур,1
484,13,Мессбауэровский спектрометр,Структурный анализ,0
485,3,Гелиевый реконденсатор сверхпроводящего магнита,Реконденсация,1
486,8,Мессбауэровский спектрометр,Структурный анализ,1
487,9,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
488,8,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
489,19,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
490,7,Полуавтоматическая зондовая станция,Прецизионное позиционирование,0
491,8,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
492,1,Система для измерения физических свойств PPMS-9,Измерение физических свойств PPMS-9,0
493,13,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,0
494,7,Система для осаждения алмазных пленок,Осаждение алмазных пленок,0
495,9,Радиотомографический комплекс для исследований ионосферы и ближнего космоса,Исследования ионосферы и ближнего космоса,1
496,9,Многофункциональный сверхширокополосный измерительный комплекс параметров материалов,Для исследований свойств нано- метаматериалов нелинейных оптических сред полимеров и нанобиосистем,1
497,2,Мессбауэровский спектрометр,Структурный анализ,0
498,17,Система для осаждения алмазных пленок,Осаждение алмазных пленок,1
499,13,Конфокальный КР микроскоп,Структурный анализ,1
500,14,	Электронно-зондовый микроанализатор JXA-8230,Структурный анализ,1
